model_type;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
GRU;2;50;64;1;5;12;1
GRU;2;100;64;1;5;12;1
GRU;2;150;64;1;5;12;1
GRU;2;200;64;1;5;12;1
GRU;2;50;96;1;5;12;1
GRU;2;100;96;1;5;12;1
GRU;2;150;96;1;5;12;1
GRU;2;200;96;1;5;12;1
GRU;2;50;128;1;5;12;1
GRU;2;100;128;1;5;12;1
GRU;2;150;128;1;5;12;1
GRU;2;200;128;1;5;12;1
GRU;2;50;192;1;5;12;1
GRU;2;100;192;1;5;12;1
GRU;2;150;192;1;5;12;1
GRU;2;200;192;1;5;12;1
GRU;2;50;64;2;5;12;1
GRU;2;100;64;2;5;12;1
GRU;2;150;64;2;5;12;1
GRU;2;200;64;2;5;12;1
GRU;2;50;96;2;5;12;1
GRU;2;100;96;2;5;12;1
GRU;2;150;96;2;5;12;1
GRU;2;200;96;2;5;12;1
GRU;2;50;128;2;5;12;1
GRU;2;100;128;2;5;12;1
GRU;2;150;128;2;5;12;1
GRU;2;200;128;2;5;12;1
GRU;2;50;192;2;5;12;1
GRU;2;100;192;2;5;12;1
GRU;2;150;192;2;5;12;1
GRU;2;200;192;2;5;12;1
